content_id,content_name,parent_id,type,platform,content_url,sheets_stage,in_mr_a,mra_chunks,mra_last_updated,action_needed
STM-M06,Using Google to Find Newsletters,STM,VIDEO,KAJABI,,3,YES,1,2026-04-23,Sheets sync only (already in Mr. A)
STM-M07,Finding Email Addresses from Domains,STM,VIDEO,KAJABI,,3,YES,1,2026-04-23,Sheets sync only (already in Mr. A)
STM-M08,ClickMagick - Tracking Links Overview,STM,VIDEO,KAJABI,,3,YES,1,2026-04-23,Sheets sync only (already in Mr. A)
STM-M09,ClickMagick - Advanced Campaign Tracking,STM,VIDEO,KAJABI,,3,YES,1,2026-04-23,Sheets sync only (already in Mr. A)
STM-M10,Shogun Chat GPT Bonus_ Find Shogun Traffic Partners with AI,STM,VIDEO,KAJABI,,3,NO,,,Format + Upload
STM-M11,BONUS_ Get Buyers Free Mojo,STM,VIDEO,KAJABI,,3,NO,,,Format + Upload
STM-M12,Bugatti Traffic_ The FASTEST converting traffic known to man,STM,VIDEO,KAJABI,,3,NO,,,Format + Upload
STM-M13,Read & Listen to this FIRST,STM,VIDEO,KAJABI,,3,NO,,,Format + Upload
STM-M14,Audience Multiplier Campaign,STM,VIDEO,KAJABI,,3,YES,8,2026-04-25,Sheets sync only (already in Mr. A)
SWSP-M02,The AI tools I use (NOW PLAYING),SWSP,VIDEO,KAJABI,,3,NO,,,Format + Upload
SWSP-M02.1,Create Useful Tools in an Hour That You Can Sell WITHOUT Sales Letters,SWSP,VIDEO,KAJABI,,3,NO,,,Format + Upload
SWSP-M03,The Demo-Then-Domino Method Explained!,SWSP,VIDEO,KAJABI,,3,NO,,,Format + Upload
TGC-M01,Win Friends & Sell_ The Goodwill Campaign (Part ONE - Strategy),TGC,VIDEO,KAJABI,,3,NO,,,Format + Upload
TGC-M02,Win Friends & Sell_ The Goodwill Campaign (Part TWO - Tactics),TGC,VIDEO,KAJABI,,3,NO,,,Format + Upload
