content_ID,content_name,platform,location,status,content_url,content_image_URL,,,,,,,,,,,,,,,,,,,,,,,,
RIVM,The Royalty Income Vending Machine,SKOOL,LOCATION_ROYALTY_RONIN_CLASSROOM,7 - Uploaded to Agent,"https://www.SKOOL.com/ronin/classroom/d62ee2b4?md=941acd14c2494ea3ba101c700b36e786
",,,,,,,,,,,,,,,,,,,,,,,,,
RM,REFERRAL MOJO,KAJABI,LOCATION_LOCATION_BIG_MOJO_LIBRARY,7 - Uploaded to Agent,https://big-mojo.mykajabi.com/products/referral-mojo,https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/site/99924/products/XfMoiTQ7eJGGSfmgZOYQ_file.jpg,,,,,,,,,,,,,,,,,,,,,,,,
RSYS,Replays & Sharpen Your Sword,SKOOL,LOCATION_ROYALTY_RONIN_CLASSROOM,7 - Uploaded to Agent,https://www.skool.com/ronin/classroom/9ec84027?md=77ddd68a6fd644c2bef04bea6a10e26b,,,,,,,,,,,,,,,,,,,,,,,,,
SB,SURPRISE BONUSES,KAJABI,LOCATION_LOCATION_BIG_MOJO_LIBRARY,7 - Uploaded to Agent,https://big-mojo.mykajabi.com/products/surprise-bonuses,https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/site/99924/products/b8UBdr6HQDminQDErpNh_Getting_Control_of_Assets_AMA_Training.png,,,,,,,,,,,,,,,,,,,,,,,,
SBP,SHOGUN Bonus Package,KAJABI,LOCATION_LOCATION_BIG_MOJO_LIBRARY,7 - Uploaded to Agent,https://big-mojo.mykajabi.com/products/shogun-bonus-package,https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production//site/99924/products/b8UBdr6HQDminQDErpNh_Getting_Control_of_Assets_AMA_Training.png,,,,,,,,,,,,,,,,,,,,,,,,
SNM,Serve No Master Training and Manual,KAJABI,LOCATION_LOCATION_BIG_MOJO_LIBRARY,7 - Uploaded to Agent,,,,,,,,,,,,,,,,,,,,,,,,,,
STM,The Shogun Traffic Method,KAJABI,LOCATION_LOCATION_BIG_MOJO_LIBRARY,7 - Uploaded to Agent,https://big-mojo.mykajabi.com/products/the-shogun-traffic-method,https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/site/99924/products/ab23835-fe0-5845-b563-46d8814d24_2b255126-1ad1-4cef-bc28-f914ae55ec45.png,,,,,,,,,,,,,,,,,,,,,,,,
SWSP,Sell Without Sales Pages!,KAJABI,LOCATION_LOCATION_BIG_MOJO_LIBRARY,Complete - Raw,https://big-mojo.mykajabi.com/products/sell-without-sales-pages,,,,,,,,,,,,,,,,,,,,,,,,,
TGC,The Goodwill Campaign,KAJABI,LOCATION_LOCATION_BIG_MOJO_LIBRARY,Complete - Raw,https://big-mojo.mykajabi.com/products/the-goodwill-campaign,https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/site/99924/products/7c3d13e-1dc-0f1b-67c-867dab428e6d_af4cff31-9c04-4376-aac1-63e799cbf080.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7 - Uploaded to Agent,,,,,,,,,,,,,,,,,,,,,,,,,,
